year,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar
1990,63.3176063590235,82.45391110406166,42.62115789014105,58.07975141071509,45.46977480755972,77.68730459460991
1991,62.34528439011702,81.47466716487295,45.46032558544059,57.863819886673106,49.00795416086814,55.480617553691815
1992,64.22555868464649,78.38728862271715,54.8015933451503,60.9576514895015,52.991996389394096,56.04274688194544
1993,62.259404847966515,75.01403295972897,48.61651615517863,59.01858803408094,53.966480634247155,62.03019780031652
1994,67.26054679350919,76.29710199787732,47.42020205529957,61.936823654585105,71.86775375736012,74.94370090074824
1995,76.8287850116353,85.24932673337705,62.72510536671231,70.8474665240566,79.95838810789446,82.19981067004032
1996,77.82086308655745,84.34557234442748,61.619550783954395,83.65592765127325,69.93519294281285,73.98962818765723
1997,70.75682380399682,79.31706264103354,59.44728416757198,66.51116723257967,70.68473461622513,70.38581190707349
1998,64.8237651326436,66.27116245186038,55.776184862258724,58.90385220966683,83.88543382429606,55.22279355165295
1999,55.38494745729497,62.42928865091984,48.31192059218944,53.12085523046289,58.22698225943004,38.798878860400684
2000,53.658254311091945,61.295380665724906,54.46468606873116,51.41600714746175,42.89305770905415,50.612781624475126
2001,55.353759430433776,62.905581984538294,60.88469474046613,51.84540600513508,42.481465934354574,53.47099426092313
2002,53.432698046969534,56.102316657369585,46.09884987045724,55.57542707086668,55.144333609249486,42.632850317668414
2003,58.11559303636253,59.31684044946804,54.48407776395476,59.38331088130321,62.630981044686195,43.854657616127014
2004,65.89944729053757,68.6029390549955,69.84888089256499,64.00158065193195,69.61163025660183,44.346000561265534
2005,67.6467997866706,72.57908938487195,77.21006263097178,60.766594200041034,64.39872945308146,61.19575106393876
2006,72.85198153556445,71.39005672414655,73.05336517091054,71.22837696143655,70.5451171722111,91.39314395266837
2007,94.55025065074518,77.75672729408136,122.39946263841763,100.90811631831873,107.3148060387481,62.36914297123817
2008,117.73787331863998,90.84433092873273,132.33661799232738,137.64181782223199,141.07285693456427,79.19536905542518
2009,91.78785298482406,81.60267222893671,91.405730315563,97.1899325654129,94.42735946277953,112.2254832184969
2010,106.87404108388505,91.39347096403203,111.89896716658724,107.49931237044449,121.95018353123997,131.72406046543753
2011,131.77593256915614,105.02246669637043,129.89070190611824,142.15740841093506,156.4798891014947,160.90057382271044
2012,122.75022327595461,104.69498650707051,111.65677557794167,137.3983528628098,138.30661545629084,133.31863424562349
2013,120.14390446093925,106.21599274087434,140.90691300197804,129.1108717873773,119.49987300357218,109.45334619156017
2014,114.98315043593857,112.11017428857667,130.20652445334494,115.8182908031581,110.6162614969274,105.19538929713728
2015,93.0638125181246,96.78279749075053,87.1451487854646,95.87342014077292,89.94109402113435,83.1811851391223
2016,91.95303704593685,91.10702822067289,82.64832676119045,88.30828905606897,99.44264448193826,111.62342556374044
2017,97.9325465965461,97.47103081764828,108.01127219003995,90.98426329355082,101.90947584276995,99.11220417429126
2018,95.75177402259017,94.39851038295467,107.2716875332135,100.82233026984352,87.76107702264312,77.40205315573543
2019,94.93129436453303,99.4754122501492,102.81578202753263,96.60386371200734,83.23927616454294,78.61501498294437
2020,98.05250486501859,95.316293513863,101.8142204334863,103.1167289201083,99.44353567977252,79.52871763805308
2021,125.73406972850047,107.53442746784815,119.59735631930364,131.1533847436843,164.85113256482796,109.33464293018675
2022,144.50986636550888,118.33551230992974,149.51050848913766,154.66510013039058,187.77977941529275,114.45579634923097
2023,124.51966645168862,114.10852024490974,123.72456940111083,130.87805882527132,126.29144514063518,144.9803113652603
2024,121.9819961575273,117.25906623977029,129.71297215949022,113.47684568733492,138.06843188494958,125.71292330063521
2025,127.19161662254096,123.30618453675002,146.70065625077075,107.89676526148348,161.68783080111805,104.30714502106537
2026,126.01671542809112,126.39036051181559,120.347708367527,108.84821459108169,175.32061090793295,89.46038996915952
